id	title	description	link	image_link	additional_image_link	availability	price	condition	brand	identifier_exists	mpn	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
iherb-41198	[iHerb]Trace 옵티멀 pH 30ml	[iHerb]Trace 옵티멀 pH 30ml. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85311	https://cdn.imweb.me/upload/S2026031936150999f07e8/e8bd94e7d0093.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/2bf40df088eff.jpeg	in_stock	23970 KRW	new	Trace	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-49515	[iHerb]Carrington Farms 고품질 아마 대마 혼합물 283g	[iHerb]Carrington Farms 고품질 아마 대마 혼합물 283g. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85302	https://cdn.imweb.me/upload/S2026031936150999f07e8/39af98f18fb3a.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/3e01adb9b6ae9.jpeg	out_of_stock	10370 KRW	new	Carrington Farms	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_under_20000	safe
iherb-49774	[iHerb]If You Care 주방 끈 60 8m	[iHerb]If You Care 주방 끈 60 8m. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85301	https://cdn.imweb.me/upload/S2026031936150999f07e8/381c2a2b9831d.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/6795c8b1b70ec.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/78274adfac67b.jpeg	in_stock	7230 KRW	new	If You Care	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_under_20000	safe
iherb-100446	[iHerb]가든오브라이프 Dr Formulated 알래스카 대구 간유 레몬 200ml	[iHerb]가든오브라이프 Dr Formulated 알래스카 대구 간유 레몬 200ml. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85296	https://cdn.imweb.me/upload/S2026031936150999f07e8/774d52e764692.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/6e6e8aa678621.jpeg	in_stock	30440 KRW	new	Garden of Life	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-144268	[iHerb]소스내추럴스 트리플 붕소 3mg 캡슐 100정	[iHerb]소스내추럴스 트리플 붕소 3mg 캡슐 100정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85288	https://cdn.imweb.me/upload/S2026031936150999f07e8/df80fb241c006.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/3c3fbe63b5cc9.jpeg	in_stock	10240 KRW	new	Source Naturals	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_under_20000	safe
iherb-148528	[iHerb]Probase Nutrition 나토키나제 캡슐 120정	[iHerb]Probase Nutrition 나토키나제 캡슐 120정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85287	https://cdn.imweb.me/upload/S2026031936150999f07e8/a424b2366bc8c.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/816946e43a022.jpeg	in_stock	27280 KRW	new	Probase Nutrition	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-56603	[iHerb]컨트리라이프 L-테아닌 100 밀리그램 60 스무스 멜트	[iHerb]컨트리라이프 L-테아닌 100 밀리그램 60 스무스 멜트. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85279	https://cdn.imweb.me/upload/S2026031936150999f07e8/0cca4bc507a10.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/84bd94021b5a4.jpeg	in_stock	32360 KRW	new	Country Life	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-58029	[iHerb]Boiron Pulsatilla 6C 감기 완화제 펠릿 약 80개	[iHerb]Boiron Pulsatilla 6C 감기 완화제 펠릿 약 80개. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85277	https://cdn.imweb.me/upload/S2026031936150999f07e8/adb3a37e46311.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/7e32b39d7771e.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/b219efc14218d.jpeg	in_stock	6070 KRW	new	Boiron	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_under_20000	safe
iherb-58432	[iHerb]Kirkman Labs 자몽씨추출물 125mg 캡슐 120정	[iHerb]Kirkman Labs 자몽씨추출물 125mg 캡슐 120정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85276	https://cdn.imweb.me/upload/S2026031936150999f07e8/457d7ead5914d.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/0bdfc9bd8cba7.jpeg	in_stock	33850 KRW	new	Kirkman Labs	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-58639	[iHerb]소스내추럴스 칼슘 함유 MBP Osteo 90정	[iHerb]소스내추럴스 칼슘 함유 MBP Osteo 90정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85275	https://cdn.imweb.me/upload/S2026031936150999f07e8/531a1af3e3e82.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/16c36e6bbfa55.jpeg	in_stock	28680 KRW	new	Source Naturals	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-6094	[iHerb]컨트리라이프 활성 리포산 60정	[iHerb]컨트리라이프 활성 리포산 60정. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85274	https://cdn.imweb.me/upload/S2026031936150999f07e8/20905a4890704.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/9b86f7651bcc8.jpeg	in_stock	33830 KRW	new	Country Life	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	stable_stock	price_20000_50000	safe
iherb-75276	[iHerb]Simple Mills 아몬드 분말 베이킹 믹스 펌킨 머핀 브레드 255g	[iHerb]Simple Mills 아몬드 분말 베이킹 믹스 펌킨 머핀 브레드 255g. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85267	https://cdn.imweb.me/upload/S2026031936150999f07e8/a494aca3e11e2.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/4ab19ee86c911.jpeg	out_of_stock	13900 KRW	new	Simple Mills	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_under_20000	safe
iherb-80622	[iHerb]Bucked Up 운동 후 녹용 스프레이 60ml	[iHerb]Bucked Up 운동 후 녹용 스프레이 60ml. iHerb 해외직구 비타민보충제 상품입니다.	https://www.onejikgu.co.kr/shop_view?idx=85261	https://cdn.imweb.me/upload/S2026031936150999f07e8/0fcbd3c53f929.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/6b62758bd0c39.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/45f433d912c5b.jpeg	out_of_stock	43800 KRW	new	Bucked Up	no		Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	iHerb > 비타민보충제	vitamin_supplements	margin_unknown	out_of_stock	price_20000_50000	safe
