id	title	description	availability	condition	price	link	image_link	additional_image_link	brand	mpn	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4
iherb-106200	The Honey Pot Company 유기농 쿨링 허브 인퓨전 날개형 패드 레귤러	The Honey Pot Company 유기농 쿨링 허브 인퓨전 날개형 패드 레귤러. iHerb 해외직구 목욕 상품입니다.	in stock	new	15890 KRW	https://www.onejikgu.co.kr/shop_view?idx=69195	https://cdn.imweb.me/upload/S2026031936150999f07e8/a24999faf1373.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/c6f8b85add441.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/bc43350c87052.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/61525fb73a5af.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/ae88d73fe268a.jpeg	The Honey Pot Company	iherb-106200	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-98324	Cottons 100 천연 면 커버시트 오버나이트 날개형 패드 헤비 패드 10개	Cottons 100 천연 면 커버시트 오버나이트 날개형 패드 헤비 패드 10개. iHerb 해외직구 목욕 상품입니다.	in stock	new	9090 KRW	https://www.onejikgu.co.kr/shop_view?idx=69191	https://cdn.imweb.me/upload/S2026031936150999f07e8/a5b6273c45f78.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/c90a19517c334.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/19f3ce8fd8662.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/1534d8ededb67.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/c6a054f4f676b.jpeg	Cottons	iherb-98324	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-98320	Cottons 100 면 산모용 패드 날개형 튼튼한 무향 10개입	Cottons 100 면 산모용 패드 날개형 튼튼한 무향 10개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	9090 KRW	https://www.onejikgu.co.kr/shop_view?idx=69187	https://cdn.imweb.me/upload/S2026031936150999f07e8/20e8745aa1910.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/cf8cf5abf1156.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/aa28a854714a2.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/96d4044c4ddba.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/2e716da19e6ad.jpeg	Cottons	iherb-98320	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-98319	Cottons 100 천연 면 커버시트 팬티라이너 울트라 씬 라이너 24개	Cottons 100 천연 면 커버시트 팬티라이너 울트라 씬 라이너 24개. iHerb 해외직구 목욕 상품입니다.	in stock	new	8460 KRW	https://www.onejikgu.co.kr/shop_view?idx=69186	https://cdn.imweb.me/upload/S2026031936150999f07e8/a0fb17b981f3b.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/aa433bae40916.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/b8b92393176a8.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/bf59dbba28d64.png,https://cdn.imweb.me/upload/S2026031936150999f07e8/10fff961d8b66.jpeg	Cottons	iherb-98319	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-98318	Cottons 100 천연 면 커버시트 울트라-씬 패드 날개형 슈퍼 패드 12개	Cottons 100 천연 면 커버시트 울트라-씬 패드 날개형 슈퍼 패드 12개. iHerb 해외직구 목욕 상품입니다.	in stock	new	8470 KRW	https://www.onejikgu.co.kr/shop_view?idx=69184	https://cdn.imweb.me/upload/S2026031936150999f07e8/09b91c83fb3d2.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/09cfca78e6739.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/036a636cd5bc5.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/82f45e1846e4e.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/66ee841b35803.jpeg	Cottons	iherb-98318	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-98317	Cottons 100 순면으로 편안한 울트라 씬 패드 날개형 레귤러 14개입	Cottons 100 순면으로 편안한 울트라 씬 패드 날개형 레귤러 14개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	8470 KRW	https://www.onejikgu.co.kr/shop_view?idx=69182	https://cdn.imweb.me/upload/S2026031936150999f07e8/a5f503d6d97df.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/ce11f9aca0ee5.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/7cbfb4bc54776.jpeg,https://cdn.imweb.me/upload/S2026031936150999f07e8/745882702a09e.png,https://cdn.imweb.me/upload/S2026031936150999f07e8/71828fdf517bc.jpeg	Cottons	iherb-98317	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-106398	The Honey Pot Company 날개형 허브 패드 주간 16개입	The Honey Pot Company 날개형 허브 패드 주간 16개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	13980 KRW	https://www.onejikgu.co.kr/shop_view?idx=58139	https://cdn.imweb.me/upload/S2026031936150999f07e8/f8d209749edfa.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/3a1d9a45219c7.jpeg	The Honey Pot Company	iherb-106398	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-89889	Rael 유기농 순면 커버 팬티 라이너 레귤러 20개입	Rael 유기농 순면 커버 팬티 라이너 레귤러 20개입. iHerb 해외직구 목욕 상품입니다.	in stock	new	8700 KRW	https://www.onejikgu.co.kr/shop_view?idx=57138	https://cdn.imweb.me/upload/S2026031936150999f07e8/be63aa9296d4c.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/debfc7bf4c164.jpeg	Rael	iherb-89889	Health & Beauty > Personal Care	iHerb > 목욕	bath	margin_unknown	stable_stock	price_under_20000	blocked
iherb-135079	[iHerb]BrainMD 에브리데이 스트레스 릴리프 베지 캡슐 120정	[iHerb]BrainMD 에브리데이 스트레스 릴리프 베지 캡슐 120정. iHerb 해외직구 베이비 상품입니다.	in stock	new	69470 KRW	https://www.onejikgu.co.kr/shop_view?idx=86497	https://cdn.imweb.me/upload/S2026031936150999f07e8/75604ae5405ce.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/314e4a0e1c85b.jpeg	BrainMD	iherb-135079	Baby & Toddler	iHerb > 베이비	baby	margin_unknown	stable_stock	price_50000_plus	blocked
iherb-122155	NaturVet 시니어 요실금 야생 참마 뿌리 반려견용 소프트츄 120개 360g	NaturVet 시니어 요실금 야생 참마 뿌리 반려견용 소프트츄 120개 360g. iHerb 해외직구 반려동물 상품입니다.	out of stock	new	39190 KRW	https://www.onejikgu.co.kr/shop_view?idx=50627	https://cdn.imweb.me/upload/S2026031936150999f07e8/f7904c303e116.jpeg	https://cdn.imweb.me/upload/S2026031936150999f07e8/131746c0a0867.jpeg	NaturVet	iherb-122155	Animals & Pet Supplies	iHerb > 반려동물	pet	margin_unknown	out_of_stock	price_20000_50000	blocked
